Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,CA
166,40,20.5,8.4,6,25,0.1,125000,5,0.01,1.25,550
167,40,20.5,8.4,6,1,0.1,62500,5,0.02,1.25,295
168,40,20.5,8.4,6,25,0.1,62500,5,0.02,1.25,550
169,40,20.5,8.4,6,40,0.1,62500,5,0.02,1.25,587
170,40,20.5,8.4,6,50,0.1,62500,5,0.02,1.25,496
171,40,20.5,8.4,6,75,0.1,62500,5,0.02,1.25,100
172,40,20.5,8.4,6,25,0.1,62500,5,0.02,1.25,550
173,40,20.5,8.4,4,25,0.1,62500,5,0.02,1.25,331
174,40,20.5,1.9,6,25,0.1,250,5,5,1.25,0.4
175,40,20.5,4.7,6,25,0.1,250,5,5,1.25,0.9
176,40,20.5,2.6,4,25,0.1,62500,5,0.02,1.25,714
177,40,25.5,8.4,6,25,0.1,2500,5,0.5,1.25,40
178,40,27.6,8.4,6,25,0.1,2500,5,0.5,1.25,58
179,40,29.8,8.4,6,25,0.1,250,30,5,1.25,0.1
180,40,20.7,8.4,6,25,0.1,12500,5,0.1,1.25,244
181,40,19.1,8.4,6,25,0.1,12500,5,0.1,1.25,271
182,40,34,3,4,25,0.1,12500,5,0.1,1.25,23
183,40,26.4,10.3,3,25,0.1,6250,5,0.2,1.25,43
184,40,23.1,8.4,6,25,0.1,6250,5,0.2,1.25,64
185,40,16.9,8.4,6,25,0.1,6250,5,0.2,1.25,40
186,40,19.4,8.4,6,25,0.1,6250,5,0.2,1.25,55
187,40,18.8,8.4,6,25,0.1,6250,5,0.2,1.25,122
188,40,17.7,8.4,6,25,0.1,6250,5,0.2,1.25,65
189,40,17.7,8.4,4,25,0.1,6250,5,0.2,1.25,53
190,40,16.8,8.4,6,25,0.1,6250,5,0.2,1.25,38
191,40,17.5,8.4,6,25,0.1,6250,5,0.2,1.25,34
192,40,17.5,8.4,4,25,0.1,6250,5,0.2,1.25,26
193,40,23.1,8.4,6,25,0.1,6250,5,0.2,1.25,116
194,40,19,8.4,6,25,0.1,6250,5,0.2,1.25,140
195,40,19.4,8.4,6,25,0.1,6250,5,0.2,1.25,152
196,40,20.5,8.4,6,25,0.1,6250,5,0.2,1.25,145
197,40,25.5,8.4,6,25,0.1,6250,5,0.2,1.25,41
198,40,27.6,8.4,6,25,0.1,6250,5,0.2,1.25,74
199,40,27.6,8.4,6,25,0.1,500,5,0.5,0.25,58
200,40,27.6,8.4,6,25,0.1,900,5,0.5,0.25,60
201,40,27.6,8.4,6,25,0.1,1250,5,0.5,0.25,50
202,40,27.6,8.4,6,25,0.1,2500,5,0.5,0.25,45
203,40,27.6,8.4,6,25,0.1,5000,5,0.5,0.25,39
204,40,27.6,8.4,6,25,0.1,7500,5,0.5,0.25,34
205,40,27.6,8.4,6,25,0.1,12500,5,0.5,0.25,26
206,40,20.5,8.4,6,25,0.1,2500,5,0.5,1.25,86
207,40,27.6,8.4,6,25,0.1,2500,5,0.5,1.25,66
208,40,27.6,8.4,6,25,0.1,1250,5,0.5,0.625,66
209,40,27.6,8.4,6,25,0.1,500,5,0.5,0.25,58
210,40,27.6,8.4,6,25,0.1,900,5,0.5,0.25,60
211,40,27.6,8.4,6,25,0.1,1250,5,0.5,0.25,50
212,40,27.6,8.4,6,25,0.1,2500,5,0.5,0.25,45
213,40,27.6,8.4,6,25,0.1,5000,5,0.5,0.25,39
214,40,27.6,8.4,6,25,0.1,7500,5,0.5,0.25,34
215,40,27.6,8.4,6,25,0.1,12500,5,0.5,0.25,26
216,40,27.6,8.4,6,25,0.1,900,5,0.5,0.25,60
217,40,27.6,8.4,6,25,0.1,900,15,0.5,0.25,53
218,40,27.6,8.4,6,25,0.1,900,30,0.5,0.25,41
219,40,16.8,8.4,6,25,0.1,1250,5,0.5,0.625,50.4
220,40,17.5,8.4,6,25,0.1,1250,5,0.5,0.625,31.6
221,40,17.5,8.4,4,25,0.1,1250,5,0.5,0.625,22
222,40,23.1,8.4,6,25,0.1,1250,5,0.5,0.625,67.2
223,40,19,8.4,6,25,0.1,1250,5,0.5,0.625,87.7
224,40,19.4,8.4,6,25,0.1,1250,5,0.5,0.625,93
225,40,19,2.9,2,25,0.1,1250,5,0.5,0.625,75.4
226,40,19.4,2.9,2,25,0.1,1250,5,0.5,0.625,52.5
227,40,16.8,8.4,6,25,0.1,12500,5,0.1,1.25,43.8
228,40,17.5,8.4,6,25,0.1,12500,5,0.1,1.25,30.5
229,40,17.5,8.4,4,25,0.1,12500,5,0.1,1.25,19
230,40,23.1,8.4,6,25,0.1,12500,5,0.1,1.25,116
231,40,19,8.4,6,25,0.1,12500,5,0.1,1.25,262
232,40,19,2.9,2,25,0.1,12500,5,0.1,1.25,430.6
233,22,21.1,8.7,5,29,0.1,2500,5,0.5,1.25,9.7
234,40,21.1,8.7,5,29,0.1,2500,5,0.5,1.25,125.2
235,72,25.5,8.4,6,80,0.4,2000,30,2,4,0.81
236,72,25.5,8.4,6,30,0.4,2000,30,1,2,7.76
237,72,25.5,8.4,6,30,0.4,2000,30,0.5,1,6
238,72,23.5,9.1,3,80,0.4,2000,30,0.1,0.2,34
