Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,CA
264,22,20.3,8.4,6,60,1.0,2000,10.0,5.0,10.0,0.85
97,22,21.1,8.7,6,50,0.101325,1250,5.0,1.0,1.25,0.588
251,72,20.5,8.4,6,25,0.1,2500,5.0,0.5,1.25,21.36
136,22,20.5,1.9,6,25,0.1,250,30.0,5.0,1.25,0.2
61,22,21.1,1.7,8,30,0.101325,2500,20.0,1.0,2.5,10.31
243,72,21.1,9.1,3,30,0.4,2000,30.0,0.25,0.5,36.0
63,22,21.1,1.7,8,30,0.101325,833,20.0,3.0,2.5,10.36
91,22,21.1,8.7,6,75,0.101325,1250,0.5,1.0,1.25,29.64
114,22,21.2,8.4,6,30,0.101325,2000,30.0,5.0,10.0,2.84
39,22,20.1,8.4,6,30,0.1,1450,50.0,1.0,1.45,6.72
224,40,19.4,8.4,6,25,0.1,1250,5.0,0.5,0.625,93.0
253,22,21.1,8.7,6,25,0.1,250,5.0,5.0,1.25,1.0
116,22,21.2,8.4,6,30,0.101325,2000,60.0,5.0,10.0,4.5
184,40,23.1,8.4,6,25,0.1,6250,5.0,0.2,1.25,64.0
21,22,20.1,8.4,6,40,0.1,1250,20.0,1.0,1.25,9.1
122,22,19.0,8.4,5,50,0.3,250,60.0,2.0,0.5,0.5
108,22,18.8,8.7,6,50,0.101325,3125,5.0,0.4,1.25,5.31
132,72,21.1,8.7,6,25,0.1,250,5.0,5.0,1.25,29.0
88,22,21.1,8.7,6,25,0.101325,2500,1.0,0.5,1.25,33.96
149,22,21.1,8.7,6,90,0.1,625,1.0,2.0,1.25,13.8
33,22,20.1,8.4,6,30,0.1,1850,20.0,1.0,1.85,9.54
220,40,17.5,8.4,6,25,0.1,1250,5.0,0.5,0.625,31.6
182,40,34.0,3.0,4,25,0.1,12500,5.0,0.1,1.25,23.0
147,22,21.1,8.7,6,75,0.1,1250,1.0,1.0,1.25,27.0
190,40,16.8,8.4,6,25,0.1,6250,5.0,0.2,1.25,38.0
203,40,27.6,8.4,6,25,0.1,5000,5.0,0.5,0.25,39.0
51,22,21.1,1.7,8,10,0.101325,625,20.0,2.0,1.25,3.81
160,40,23.1,8.4,6,25,0.101325,1250,10.0,0.5,0.625,50.2
215,40,27.6,8.4,6,25,0.1,12500,5.0,0.5,0.25,26.0
191,40,17.5,8.4,6,25,0.1,6250,5.0,0.2,1.25,34.0
156,22,21.1,2.8,9,70,0.2,2500,30.0,20.0,50.0,1.24
85,22,20.5,8.4,4,25,0.101325,250,30.0,5.0,1.25,1.71
221,40,17.5,8.4,4,25,0.1,1250,5.0,0.5,0.625,22.0
104,22,21.1,8.7,6,50,0.101325,1250,5.0,1.0,1.25,0.828
101,22,21.1,8.7,6,75,0.101325,1250,10.0,1.0,1.25,0.732
10,22,21.2,8.4,6,30,0.101325,4000,30.0,2.0,8.0,0.291
180,40,20.7,8.4,6,25,0.1,12500,5.0,0.1,1.25,244.0
192,40,17.5,8.4,4,25,0.1,6250,5.0,0.2,1.25,26.0
120,22,19.0,8.4,4,50,0.3,250,60.0,2.15,0.54,1.27
28,22,20.1,8.4,6,30,0.1,250,20.0,5.0,1.25,5.35
249,72,20.5,8.4,6,25,0.1,2500,5.0,0.5,1.25,28.8
236,72,25.5,8.4,6,30,0.4,2000,30.0,1.0,2.0,7.76
90,22,21.1,8.7,6,50,0.101325,2500,1.0,0.5,1.25,36.24
18,22,20.1,8.4,6,60,0.1,1250,20.0,1.0,1.25,7.8
79,22,20.5,0.1,6,25,0.101325,250,30.0,5.0,1.25,0.038
162,40,20.5,8.4,6,25,0.1,6250,5.0,0.2,1.25,197.0
148,22,21.1,8.7,6,90,0.1,625,0.5,2.0,1.25,12.0
12,22,21.2,8.4,6,1,0.101325,2000,30.0,2.0,4.0,0.098
54,22,21.1,1.7,8,40,0.101325,625,20.0,2.0,1.25,1.45
205,40,27.6,8.4,6,25,0.1,12500,5.0,0.5,0.25,26.0
41,22,20.1,8.4,6,40,0.1,1450,20.0,3.0,4.35,9.2
144,22,21.1,8.7,6,50,0.1,2500,0.5,0.5,1.25,40.8
83,22,25.5,8.4,6,25,0.101325,250,30.0,5.0,1.25,0.301
186,40,19.4,8.4,6,25,0.1,6250,5.0,0.2,1.25,55.0
