Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,MWD
198,40,17.5,8.4,6,25,0.1,12500,5,0.1,1.25,1.6
199,40,17.5,8.4,4,25,0.1,12500,5,0.1,1.25,1.6
200,40,23.1,8.4,6,25,0.1,12500,5,0.1,1.25,1.9
201,40,19,8.4,6,25,0.1,12500,5,0.1,1.25,1.8
202,40,19,2.9,2,25,0.1,12500,5,0.1,1.25,1.8
203,22,21.1,8.7,5,29,0.1,2500,5,0.5,1.25,1.72
204,40,21.1,8.7,5,29,0.1,2500,5,0.5,1.25,1.98
205,72,25.5,8.4,6,30,0.4,2000,30,1,2,6.2
206,72,25.5,8.4,6,30,0.4,2000,30,0.5,1,4.4
207,72,23.5,9.1,3,80,0.4,2000,30,0.1,0.2,2.6
208,72,23.5,9.1,3,30,0.4,2000,30,0.1,0.2,6.3
209,72,21.1,8.7,6,80,0.4,2000,30,2,4,4.5
210,72,21.1,8.7,6,40,0.4,2000,30,0.5,1,3.5
211,72,21.1,9.1,3,80,0.4,2000,30,0.25,0.5,4
212,72,21.1,9.1,3,30,0.4,2000,30,0.25,0.5,2.6
213,72,21.1,8.7,6,30,0.4,2000,30,0.5,1,2.9
214,72,21.1,9.1,3,30,0.4,2000,30,0.25,0.5,2.6
215,40,20.5,8.4,6,25,0.1,12500,5,0.1,1.25,2.06
216,72,20.5,8.4,6,25,0.1,2500,5,0.5,1.25,2.56
217,40,20.5,8.4,6,25,0.1,12500,5,0.1,1.25,2.06
218,72,20.5,8.4,6,25,0.1,2500,5,0.5,1.25,2.56
219,22,21.1,8.7,6,25,0.1,250,5,5,1.25,1.25
220,22,21.1,8.7,6,25,0.1,250,5,5,1.25,1.05
221,22,19.5,8.7,6,25,0.1,250,5,5,1.25,1.06
222,22,20.5,8.4,6,60,0.3,2000,20,5,10,2.1
223,22,20.5,8.4,6,40,0.5,2000,20,5,10,2.2
224,22,20.5,8.4,6,60,0.5,2000,20,5,10,2.2
225,22,20.5,8.4,6,80,0.5,2000,20,5,10,1.9
226,22,20.5,8.4,6,60,1,2000,10,2.5,5,2
227,22,20.3,8.4,6,60,0.3,2000,20,5,10,2.1
228,22,20.3,8.4,6,40,0.5,2000,20,5,10,2.1
229,22,20.3,8.4,6,60,0.5,2000,20,5,10,2.3
230,22,20.3,8.4,6,80,0.5,2000,20,5,10,2.1
231,22,20.3,8.4,6,60,1,2000,10,5,10,2
