Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,MW
153,22,20.5,2.1,6,50,0.9,2500,30.0,0.5,1.25,11.06
138,22,21.1,0.1,6,100,1.0,2000,50.0,10.0,20.0,68.13
166,40,16.8,8.4,6,25,0.1,6250,5.0,0.2,1.25,0.27
37,22,20.1,8.4,6,30,0.1,1450,30.0,1.0,1.45,114.0
4,22,21.1,2.0,6,25,0.101325,250,1.0,5.0,1.25,7.5
41,22,20.1,8.4,6,40,0.1,1450,20.0,3.0,4.35,127.0
208,40,20.5,8.4,6,25,0.1,12500,5.0,0.1,1.25,0.35
71,22,21.1,8.7,6,50,0.101325,1250,5.0,1.0,1.25,6.4
96,72,21.1,8.7,6,25,0.1,250,5.0,5.0,1.25,15.2
106,22,21.1,8.7,6,25,0.1,250,5.0,5.0,1.25,6.4
199,72,21.1,8.7,6,80,0.4,2000,30.0,2.0,4.0,2.1
158,22,21.1,8.7,6,50,0.1,2500,1.0,0.5,1.25,42.4
48,22,20.5,8.4,6,25,0.101325,250,30.0,5.0,1.25,50.24
212,22,20.5,8.4,6,60,0.5,2000,20.0,5.0,10.0,19.77
18,22,20.1,8.4,6,60,0.1,1250,20.0,1.0,1.25,70.0
61,22,21.1,8.7,6,25,0.101325,1250,5.0,1.0,1.25,5.6
113,22,20.5,0.1,6,60,0.3,2000,50.0,20.0,40.0,16.54
69,22,21.1,8.7,6,75,0.101325,1250,15.0,1.0,1.25,16.0
26,22,20.1,8.4,6,30,0.1,417,20.0,3.0,1.25,113.0
39,22,20.1,8.4,6,30,0.1,1450,50.0,1.0,1.45,125.0
49,22,20.5,6.3,6,25,0.101325,250,30.0,5.0,1.25,44.02
162,40,19.4,8.4,6,25,0.1,6250,5.0,0.2,1.25,0.28
149,22,21.1,8.7,6,90,0.1,625,0.5,2.0,1.25,10.2
112,22,27.6,8.4,6,25,0.1,250,30.0,5.0,1.25,29.6
136,22,21.1,0.1,6,40,0.5,2000,50.0,20.0,40.0,15.22
97,22,21.1,8.7,6,50,0.1,250,1.0,5.0,1.25,42.4
8,22,21.2,8.4,6,30,0.101325,2000,30.0,2.0,4.0,16.8
28,22,20.1,8.4,6,30,0.1,313,20.0,4.0,1.25,82.0
183,40,19.0,8.4,6,25,0.1,1250,5.0,0.5,0.625,0.82
131,22,19.9,0.1,6,40,0.5,2000,50.0,20.0,40.0,6.91
29,22,20.1,8.4,6,30,0.1,208,20.0,6.0,1.25,72.0
205,72,21.1,9.1,3,30,0.4,2000,30.0,0.25,0.5,41.0
198,72,21.1,8.7,3,30,0.4,2000,30.0,0.1,0.2,4.0
180,40,17.5,8.4,6,25,0.1,1250,5.0,0.5,0.625,0.12
157,22,21.1,8.7,6,50,0.1,2500,0.5,0.5,1.25,25.7
117,22,20.5,0.1,6,60,1.0,2000,50.0,10.0,20.0,13.7
30,22,20.1,8.4,6,30,0.1,1250,20.0,1.0,1.25,100.0
215,22,20.3,8.4,6,60,0.3,2000,20.0,5.0,10.0,7.62
78,22,21.2,8.4,6,30,0.101325,2000,10.0,5.0,10.0,49.79
185,40,19.0,2.9,2,25,0.1,1250,5.0,0.5,0.625,1.33
27,22,20.1,8.4,6,30,0.1,250,20.0,5.0,1.25,91.0
135,22,21.1,0.1,6,60,1.0,2000,50.0,10.0,20.0,32.67
2,22,21.1,2.5,6,25,0.101325,250,1.0,5.0,1.25,4.9
