Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,MW
180,40,17.5,8.4,6,25,0.1,1250,5,0.5,0.625,0.12
181,40,17.5,8.4,4,25,0.1,1250,5,0.5,0.625,0.12
182,40,23.1,8.4,6,25,0.1,1250,5,0.5,0.625,0.17
183,40,19,8.4,6,25,0.1,1250,5,0.5,0.625,0.82
184,40,19.4,8.4,6,25,0.1,1250,5,0.5,0.625,5.92
185,40,19,2.9,2,25,0.1,1250,5,0.5,0.625,1.33
186,40,19.4,2.9,2,25,0.1,1250,5,0.5,0.625,23.41
187,40,17.5,8.4,6,25,0.1,12500,5,0.1,1.25,0.21
188,40,17.5,8.4,6,25,0.1,12500,5,0.1,1.25,0.13
189,40,23.1,8.4,4,25,0.1,12500,5,0.1,1.25,0.12
190,40,19,8.4,6,25,0.1,12500,5,0.1,1.25,0.18
191,40,19,2.9,6,25,0.1,12500,5,0.1,1.25,0.78
192,40,21.1,8.7,2,25,0.1,12500,5,0.1,1.25,1.06
193,40,21.1,8.7,5,29,0.1,2500,5,0.5,1.25,12.87
194,72,25.5,8.4,6,80,0.4,2000,30,2,4,1.03
195,72,25.5,8.4,6,30,0.4,2000,30,1,2,6.8
196,72,25.5,8.4,6,30,0.4,2000,30,0.5,1,7.4
197,72,23.5,9.1,3,80,0.4,2000,30,0.1,0.2,3.1
198,72,21.1,8.7,3,30,0.4,2000,30,0.1,0.2,4
199,72,21.1,8.7,6,80,0.4,2000,30,2,4,2.1
200,72,21.1,9.1,6,40,0.4,2000,30,0.5,1,44
201,72,21.1,9.1,3,80,0.4,2000,30,0.25,0.5,39
202,72,25.5,8.4,3,30,0.4,2000,30,0.25,0.5,14
203,72,23.5,9.1,3,30,0.4,2000,30,0.25,0.5,6.2
204,72,21.1,8.7,6,30,0.4,2000,30,0.5,1,7.2
205,72,21.1,9.1,3,30,0.4,2000,30,0.25,0.5,41
206,40,21.1,8.7,6,25,0.1,12500,5,0.1,1.25,8.27
207,72,21.1,8.7,6,25,0.1,2500,5,0.5,1.25,15.17
208,40,20.5,8.4,6,25,0.1,12500,5,0.1,1.25,0.35
209,72,20.5,8.4,6,25,0.1,2500,5,0.5,1.25,0.66
210,22,20.5,8.4,6,60,0.3,2000,20,5,10,24.76
211,22,20.5,8.4,6,40,0.5,2000,20,5,10,26.36
212,22,20.5,8.4,6,60,0.5,2000,20,5,10,19.77
213,22,20.5,8.4,6,80,0.5,2000,20,5,10,19.74
214,22,20.5,8.4,6,60,1,2000,10,2.5,5,11
215,22,20.3,8.4,6,60,0.3,2000,20,5,10,7.62
216,22,20.3,8.4,6,40,0.5,2000,20,5,10,7.62
217,22,20.3,8.4,6,60,0.5,2000,20,5,10,3.39
218,22,20.3,8.4,6,80,0.5,2000,20,5,10,5.71
219,22,20.3,8.4,6,60,1,2000,10,5,10,7
