Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,MWD
228,22,20.3,8.4,6,40,0.5,2000,20.0,5.0,10.0,2.1
151,40,23.1,8.4,6,25,0.101325,1250,10.0,0.5,0.625,2.2
98,22,21.1,8.7,6,50,0.101325,1250,5.0,1.0,1.25,1.05
32,22,20.1,8.4,6,30,0.1,1650,20.0,1.0,1.65,1.6
43,22,20.1,8.4,6,40,0.3,1450,20.0,3.0,4.35,1.63
103,22,21.2,8.4,6,30,0.101325,2000,2.0,5.0,10.0,1.24
74,22,20.5,1.9,6,25,0.101325,250,30.0,5.0,1.25,1.54
225,22,20.5,8.4,6,80,0.5,2000,20.0,5.0,10.0,1.9
115,22,20.5,8.4,5,30,0.3,250,60.0,2.01,0.5,2.68
55,22,21.1,1.7,8,50,0.101325,625,20.0,2.0,1.25,2.07
40,22,20.1,8.4,6,30,0.1,1450,60.0,1.0,1.45,1.53
92,22,21.1,8.7,6,50,0.101325,1250,10.0,1.0,1.25,1.14
29,22,20.1,8.4,6,30,0.1,208,20.0,6.0,1.25,1.83
12,22,21.2,8.4,6,1,0.101325,2000,30.0,2.0,4.0,1.3
216,72,20.5,8.4,6,25,0.1,2500,5.0,0.5,1.25,2.56
96,22,21.1,8.7,6,75,0.101325,1250,15.0,1.0,1.25,2.05
111,22,19.0,7.1,4,30,0.3,250,60.0,1.1,0.28,3.4
203,22,21.1,8.7,5,29,0.1,2500,5.0,0.5,1.25,1.72
112,22,19.0,7.1,4,50,0.3,250,60.0,1.1,0.28,3.5
159,40,17.7,8.4,4,25,0.1,6250,5.0,0.2,1.25,1.9
166,40,20.5,8.4,6,25,0.1,6250,5.0,0.2,1.25,2.0
67,22,21.1,1.7,8,30,0.101325,1825,10.0,2.0,1.65,1.37
75,22,20.5,8.4,6,25,0.101325,250,30.0,5.0,1.25,2.55
61,22,21.1,1.7,8,30,0.101325,2500,20.0,1.0,2.5,1.1
194,40,19.4,8.4,6,25,0.1,1250,5.0,0.5,0.625,2.7
128,22,20.5,1.9,6,25,0.1,250,30.0,5.0,1.25,1.54
42,22,20.1,8.4,6,40,0.2,1450,20.0,3.0,4.35,1.65
184,40,27.6,8.4,6,25,0.1,7500,5.0,0.5,0.25,1.99
191,40,17.5,8.4,4,25,0.1,1250,5.0,0.5,0.625,1.7
37,22,20.1,8.4,6,30,0.1,1450,30.0,1.0,1.45,1.67
28,22,20.1,8.4,6,30,0.1,250,20.0,5.0,1.25,1.78
129,22,20.5,0.1,6,25,0.1,250,30.0,5.0,1.25,3.13
97,22,21.1,8.7,6,50,0.101325,3125,5.0,0.4,1.25,1.25
137,22,21.1,8.7,6,50,0.1,2500,1.0,0.5,1.25,1.13
